rank_frequency,S,fk
7,91,0.032580451978718734
7,99,0.030005565713709905
7,31,0.02878898013730044
7,71,0.03281738490089566
7,83,0.035031368140136444
7,22,0.027245398768640183
7,98,0.03115546585797951
7,103,0.029349817176449168
7,49,0.029648430675097384
7,56,0.030727688964282976
7,17,0.023541133315354047
7,15,0.020437488566428057
7,16,0.021094476879909993
7,68,0.03184460079783196
7,60,0.030620605456666308
7,50,0.0332062314597403
7,12,0.019907317481096816
7,13,0.020035430191759494
7,73,0.029432260223886873
7,30,0.025073115963620086
7,104,0.036580753924364814
7,64,0.03207313495534652
7,89,0.032086562738443375
7,86,0.033201982064808185
7,26,0.02731597766959412
7,29,0.02573674332603633
7,66,0.02933113062617642
8,55,0.024644602735234285
8,87,0.027707637491878642
8,88,0.025431155670022396
8,54,0.02374305605694138
8,10,0.011530353802086819
8,11,0.01248947659396273
8,21,0.018568614464819975
8,34,0.021818503421547106
8,45,0.0215321270634441
8,44,0.022923216294219305
8,97,0.023690213090751946
8,81,0.025532027130022637
8,70,0.025594083937983753
8,41,0.022887381411077413
8,20,0.01872671706545808
8,43,0.023584878943501884
8,80,0.024168216374095764
8,95,0.026890070709407708
8,37,0.022163571218745643
8,18,0.01669175940920933
8,101,0.024159814404055555
8,93,0.02903372607206354
8,75,0.023778531659459028
8,92,0.025476814121118557
8,74,0.02442408043599359
8,72,0.023399954803708087
8,52,0.02424904217859952
8,100,0.027341990134526116
8,38,0.02256353164093243
8,62,0.024409524834175505
8,79,0.02713083742403126
8,7,0.0006091127719000999
8,8,0.009966315134199235
8,9,0.011556844503280657
8,39,0.02161625363238249
8,65,0.02440356000551998
8,35,0.023442565041672754
8,67,0.02439730026312532
8,48,0.023581993808946003
8,78,0.02673706251367938
8,47,0.024525666795005664
8,53,0.023621984892330528
8,63,0.025573560537075428
8,27,0.019838622202505107
8,25,0.020567977913660513
8,24,0.018660469295378575
8,14,0.014272564128027116
8,46,0.02352772578144432
8,94,0.023955585549542538
8,59,0.024020761449882373
8,36,0.021214403242280674
8,58,0.023480962256479176
8,33,0.02175643834372756
8,28,0.02007371661250644
8,19,0.017397049446767378
8,85,0.026013982045463714
8,32,0.021716633150586456
8,57,0.023325297705513018
8,42,0.022767349482323732
8,76,0.02696545694080244
8,91,0.02649100603374074
8,99,0.02176951590225608
8,31,0.02188297966190419
8,82,0.025687904854483058
8,71,0.024490657358437338
8,83,0.0261827652581017
8,22,0.019874805610858172
8,98,0.0258361799766629
8,103,0.021922337812233288
8,49,0.022996422227467454
8,56,0.023779002533625526
8,17,0.016911531851983626
8,15,0.014406545217551255
8,16,0.015084588716367768
8,68,0.02423199341404872
8,60,0.02372614738581067
8,50,0.025920608503779207
8,12,0.01380486307852538
8,13,0.013871819506838606
8,73,0.022946246614607327
8,30,0.01893324996188644
8,104,0.028507240703635774
8,64,0.025240381408584384
8,89,0.024538060544426754
8,86,0.02652871857147191
8,26,0.020286279462472204
8,29,0.019218902266640053
8,66,0.022815438646296638
9,55,0.019597231633694607
9,87,0.022181406364185596
9,88,0.020559104366258223
9,54,0.018908682473218506
9,9,0.007948142985636335
9,10,0.007562103065668782
9,11,0.008385987539339572
9,21,0.013813255458768173
9,34,0.016810556330444194
9,45,0.016828809171975146
9,44,0.018067468926960966
9,97,0.01914900216273295
9,81,0.020289292065578033
9,70,0.02021302698969524
9,41,0.01814643920915046
9,20,0.013933087520702832
9,43,0.018438825121258738
9,80,0.019087177096247885
9,95,0.023750811171728545
9,37,0.017362715497901266
9,18,0.012295031167947185
9,101,0.019772770352837803
9,93,0.021555330271198384
9,75,0.019008931387125824
9,92,0.02052421258438067
9,74,0.020110862588209384
9,72,0.018396027169237293
9,52,0.019197376161232477
9,100,0.021370441846386767
9,38,0.017674696057695685
9,62,0.01933307517546007
9,79,0.02102980169253225
9,7,7.550588945937783e-06
9,8,0.000486188122247915
9,39,0.016975760726767732
9,65,0.01954955394767443
9,35,0.01819657659904392
9,67,0.019383106170841335
9,48,0.01866760220232109
9,78,0.021359189150665998
9,47,0.019550262965609303
9,53,0.018624076409538906
9,63,0.020409838945152817
9,27,0.014982589087821093
9,56,0.018876614804416034
9,25,0.015537037113037246
9,24,0.013982346265256962
9,14,0.01010506304438352
9,46,0.01875489966184798
9,94,0.018879083676219148
9,59,0.01884690437106541
9,36,0.016395390612004478
9,58,0.018752611108954882
9,42,0.017825608447387484
9,33,0.016990319056824233
9,28,0.015300382580167894
9,19,0.012979502979073614
9,85,0.020527602366308465
9,32,0.016834452876105997
9,57,0.018183859817505872
9,76,0.02209504481390858
9,91,0.021227041942725622
9,99,0.01893603243059008
9,31,0.016956154045835968
9,82,0.02069883747248873
9,71,0.019632915574453454
9,83,0.020498913795709832
9,22,0.014809975131565189
9,98,0.022121516232117205
9,103,0.016831118878782615
9,49,0.017998685537245762
9,17,0.01239425460786404
9,15,0.010298665433486166
9,16,0.010972348529624336
9,68,0.019536518905763897
9,60,0.01863249870110396
9,50,0.020285711044528115
9,12,0.00947104905745784
9,13,0.009870000406558898
9,73,0.018361165971025127
9,30,0.014460370531457625
9,104,0.022112826777713663
9,64,0.02039735220302589
9,89,0.020950848326479622
9,86,0.020991392899087528
9,26,0.01528911336954134
9,29,0.014854509784317009
9,66,0.0181803453752845
10,55,0.01559063061510064
10,87,0.01800424853793593
10,88,0.016508933314237396
10,54,0.015335368253945878
10,9,0.0004415898916176806
10,10,0.005291379373170233
10,11,0.005730994982352536
10,21,0.010544211005341598
10,34,0.013295758520330747
10,45,0.013429697292363952
10,44,0.014436307001511436
10,97,0.015442990564096919
10,81,0.016547621799200232
10,70,0.016239161046490362
10,41,0.014411799772428735
10,20,0.010555588791884044
10,43,0.014701494536659962
10,80,0.01566625375872445
10,95,0.01874810597950321
10,37,0.013712490059302473
10,18,0.009059766935841564
10,101,0.01519743648209849
10,93,0.01698834713330794
10,75,0.015100032481101006
10,92,0.017236997951608116
10,74,0.01655108231639812
10,72,0.01515474189969208
10,52,0.015573359780912016
10,99,0.014005961746280125
10,100,0.017115394393092145
10,38,0.014033862530477096
10,62,0.01565639236686061
10,79,0.01722363842245287
10,8,2.2281951804292627e-05
10,39,0.013526334906493402
10,65,0.01619528187123182
10,35,0.014436029561348094
10,67,0.01558741822520266
10,48,0.015082753410756423
10,78,0.01677239947789387
10,47,0.015738826626297733
10,53,0.015187970987041187
10,63,0.016772545463448803
10,27,0.011709064172473832
10,56,0.015118854480190225
10,25,0.011981205148705293
10,24,0.010669756190204561
10,13,0.0070151457431560345
10,14,0.007322910362182206
10,46,0.015143172648904588
10,94,0.015527538951526828
10,59,0.015300528422520956
10,36,0.013064191337891573
10,58,0.015117368979491355
10,42,0.014062036307999216
10,33,0.013362088760688706
10,28,0.011911656397825954
10,19,0.00969509330951789
10,85,0.017250310346592173
10,32,0.013216128822247274
10,57,0.014925720422422958
10,76,0.018217327837089427
10,91,0.01769487679289587
10,31,0.013281953055865922
10,82,0.017204386471860695
10,71,0.016002241832111384
10,83,0.016505136779200454
10,22,0.011304081830418684
10,98,0.019277314781730736
10,103,0.0131862567288737
10,49,0.01467216118204403
10,16,0.008123993378641474
10,17,0.009154750597419185
10,15,0.007426981058150699
10,68,0.016322919382756595
10,60,0.015036817570352438
10,50,0.01645181242108206
10,12,0.006629174091271188
10,73,0.014780394662854872
10,30,0.011311848580076011
10,104,0.019247369027110876
10,64,0.016610641602783534
10,89,0.017179077612875234
10,86,0.01708881408125744
10,26,0.011776027381045898
10,29,0.011584335388129186
10,66,0.014905617564737206
11,55,0.012958273973889961
11,87,0.015339098496439196
11,88,0.013565251698284058
11,54,0.012664906556124709
11,9,5.294030451263156e-06
11,10,0.0003371165539194595
11,11,0.004029157976092516
11,21,0.008107609857505183
11,34,0.010697419926916994
11,45,0.010892767941914577
11,44,0.011700049365896432
11,97,0.013159501323827757
11,81,0.013570991133475945
11,70,0.013327102077715373
11,41,0.011748899029909972
11,20,0.00802442119465748
11,43,0.012046204198528435
11,80,0.013034118452476439
11,95,0.015420485929227
11,37,0.011016216226571259
11,18,0.006847762937883852
11,101,0.013191182492173464
11,93,0.014439244714512536
11,75,0.01287959620175918
11,92,0.013695674264669111
11,74,0.013955947524623048
11,72,0.012573388728255575
11,52,0.012698823342579428
11,99,0.012045960660951618
11,100,0.015112182117644979
11,38,0.011298121395766093
11,62,0.012831742101263562
11,79,0.014237999482442849
11,39,0.011053073391254836
11,98,0.016605107074063558
11,65,0.013387363502404864
11,35,0.011654342289632472
11,67,0.012844357281900864
11,48,0.012329020826178948
11,78,0.013800509689621893
11,47,0.012866250492840427
11,53,0.012409774898328741
11,63,0.01359962716096395
11,27,0.009237033224711885
11,56,0.012516246701407439
11,25,0.009311383125256019
11,24,0.00829620240917308
11,13,0.0049669769972975845
11,14,0.00534867937551487
11,46,0.012335188885530852
11,94,0.012126849675566405
11,59,0.012640744381474365
11,36,0.01056848184505519
11,60,0.012478924586074306
11,58,0.012347117131855398
11,42,0.011401761837413447
11,33,0.01066893534206118
11,28,0.009389120710976254
11,19,0.007278505467056987
11,85,0.01402863434353842
11,32,0.010556031073679289
11,57,0.01206090276971735
11,76,0.015138056268369582
11,91,0.015046116139674447
11,31,0.010527251724055636
11,82,0.01463535079222943
11,71,0.013483860985286599
11,83,0.013601182605794302
11,22,0.008782811233121642
11,103,0.01142060476740464
11,49,0.011912074901159402
11,16,0.006102131033317906
11,17,0.006879902041553816
11,15,0.005524335033534715
11,68,0.013530503620184119
11,50,0.013548264595130016
11,12,0.004670635574073598
11,89,0.01373550080185179
11,73,0.012269803934522858
11,30,0.008921276358257516
11,104,0.015077045430445949
11,64,0.013814634335162489
11,86,0.014320664561220017
11,26,0.009217275749293392
11,29,0.009122438995943692
11,66,0.012123113986953643
12,55,0.010930544442944942
12,87,0.012756609457537657
12,88,0.011871855344120346
12,54,0.01040494632727649
12,10,8.70907277814347e-06
12,21,0.006351126224557153
12,85,0.01211584555921046
12,34,0.008701473680702858
12,45,0.008975107889972534
