age,avg(AS)
29,24.705882352941178
24,25.3125
41,21.0
33,80.9375
47,16.705882352941178
62,24.466666666666665
46,31.3125
54,41.3125
46,30.0
23,35.05882352941177
37,22.25
47,28.6
45,22.235294117647058
57,22.2
48,6.75
62,32.13333333333333
58,24.3125
54,12.1875
43,19.875
26,37.94117647058823
32,23.11764705882353
40,17.0
58,30.75
24,14.0
25,33.0
59,11.923076923076923
51,22.0
48,38.0
50,28.8
31,14.666666666666666
29,33.8
59,24.25
60,19.266666666666666
26,25.647058823529413
19,22.8
33,26.352941176470587
67,14.5
47,19.916666666666668
57,15.133333333333333
49,23.647058823529413
62,25.176470588235293
51,24.4
23,44.6
53,24.88888888888889
58,20.733333333333334
57,20.625
43,40.666666666666664
26,17.583333333333332
52,28.545454545454547
58,28.333333333333332
31,48.666666666666664
25,26.823529411764707
39,11.5
47,9.0
37,10.705882352941176
37,41.3125
47,40.0
23,35.35294117647059
25,17.352941176470587
23,26.1875
37,22.176470588235293
49,40.09090909090909
27,25.5625
31,31.11111111111111
47,22.647058823529413
26,28.857142857142858
30,19.75
18,42.0
28,25.8125
34,24.333333333333332
27,12.0
42,28.0
27,20.4
53,10.333333333333334
41,12.416666666666666
32,40.42857142857143
41,14.1875
53,23.4
43,24.941176470588236
40,32.411764705882355
26,29.88235294117647
32,35.11764705882353
36,17.333333333333332
46,14.0
23,27.58823529411765
23,38.8
32,27.764705882352942
39,34.333333333333336
31,35.266666666666666
31,42.23529411764706
61,9.714285714285714
48,16.785714285714285
35,23.785714285714285
52,36.411764705882355
29,28.77777777777778
52,22.0
33,25.0
42,17.23076923076923
24,19.0
33,23.5
25,42.411764705882355
44,33.0625
52,24.0
52,26.764705882352942
52,27.11111111111111
41,50.1764705882353
40,20.285714285714285
47,32.2
32,21.823529411764707
60,38.53846153846154
45,24.2
66,7.4
46,30.375
38,29.1875
44,45.23529411764706
43,17.3125
50,22.666666666666668
28,17.0
42,24.705882352941178
36,29.636363636363637
36,27.666666666666668
47,13.266666666666667
23,29.75
39,13.0
30,21.1
30,13.5
43,48.142857142857146
30,30.357142857142858
37,24.058823529411764
24,41.4
60,15.1875
38,38.357142857142854
37,42.46153846153846
58,25.6875
64,31.25
23,16.11764705882353
24,38.8
20,35.588235294117645
26,31.941176470588236
52,16.0
32,28.333333333333332
30,23.5
45,30.09090909090909
24,25.363636363636363
28,43.64705882352941
43,33.11764705882353
33,49.705882352941174
52,32.0
26,45.333333333333336
57,25.0
43,13.833333333333334
66,14.25
28,20.0
45,21.23076923076923
52,24.0
20,50.94117647058823
51,25.235294117647058
24,18.375
27,34.25
36,28.5
30,25.0
45,33.0
48,39.75
50,35.6
25,34.5
28,18.41176470588235
41,18.5
36,24.8125
44,7.0
59,7.181818181818182
34,36.916666666666664
43,10.0
26,26.6
53,48.583333333333336
28,31.428571428571427
58,3.9285714285714284
36,24.90909090909091
26,42.25
25,34.9375
53,30.058823529411764
40,14.8125
25,36.9375
45,38.7
29,19.25
26,32.46666666666667
41,18.0
44,35.0625
47,15.625
68,18.266666666666666
41,33.38461538461539
21,17.0
22,12.5
26,33.5
23,19.90909090909091
37,37.266666666666666
43,25.352941176470587
31,34.64705882352941
40,13.5
30,29.272727272727273
42,23.142857142857142
24,22.058823529411764
25,27.647058823529413
36,42.411764705882355
47,17.6875
32,16.6
38,30.764705882352942
59,15.142857142857142
68,40.0
61,27.25
19,31.666666666666668
35,28.285714285714285
61,23.3125
45,30.1
47,30.823529411764707
31,34.0
33,24.352941176470587
52,27.6
37,20.176470588235293
58,30.0
46,16.6
20,37.64705882352941
25,49.666666666666664
61,5.866666666666666
29,38.23076923076923
50,24.5
42,21.09090909090909
27,24.333333333333332
22,27.363636363636363
30,27.5
31,20.09090909090909
47,26.0
23,30.647058823529413
20,24.75
28,40.529411764705884
32,26.0
28,43.6875
26,26.0
60,5.818181818181818
43,19.46153846153846
46,17.428571428571427
46,19.6875
42,22.8125
49,19.25
45,16.333333333333332
26,24.0
45,27.0
24,36.142857142857146
54,8.625
25,34.35294117647059
28,27.0
33,27.294117647058822
35,11.5
29,20.58823529411765
34,20.5
20,61.411764705882355
29,28.0
43,18.647058823529413
28,33.76470588235294
25,26.647058823529413
48,18.8125
18,37.06666666666667
38,59.11764705882353
31,25.0
21,20.916666666666668
36,13.8
40,22.0
24,20.727272727272727
42,26.4
23,34.64705882352941
44,14.0
24,34.6875
30,20.571428571428573
48,56.666666666666664
24,11.25
32,26.0
46,12.461538461538462
42,40.8235294117647
36,32.916666666666664
40,18.0
40,19.11764705882353
22,44.92307692307692
48,6.7272727272727275
34,34.94117647058823
38,28.0
42,26.642857142857142
33,27.333333333333332
52,12.545454545454545
36,35.07692307692308
49,21.666666666666668
46,38.25
36,23.09090909090909
30,29.647058823529413
40,48.5625
49,8.0
57,31.727272727272727
54,7.5
22,33.46666666666667
34,23.529411764705884
67,22.307692307692307
38,24.875
53,11.428571428571429
25,33.588235294117645
26,44.61538461538461
20,20.25
35,24.25
27,23.6
46,21.733333333333334
19,42.11764705882353
33,34.166666666666664
49,25.066666666666666
21,18.2
48,21.625
42,25.4
60,16.0
43,26.25
42,34.1764705882353
38,26.88235294117647
31,31.0
67,8.0
34,20.4375
30,29.4
38,25.285714285714285
27,26.823529411764707
49,24.466666666666665
56,27.583333333333332
54,34.588235294117645
51,50.72727272727273
21,30.266666666666666
40,37.53846153846154
46,42.75
20,27.2
30,25.272727272727273
26,37.64705882352941
43,32.666666666666664
28,37.285714285714285
30,38.0
44,23.875
36,22.58823529411765
39,35.64705882352941
52,35.64705882352941
47,59.86666666666667
40,46.3
34,26.941176470588236
53,32.666666666666664
36,23.11764705882353
27,24.25
56,29.875
37,31.666666666666668
35,35.375
29,32.0
43,26.0
33,27.625
35,26.41176470588235
45,40.0
57,17.0
24,33.470588235294116
24,27.4
51,11.357142857142858
37,18.571428571428573
53,13.588235294117647
55,35.411764705882355
57,14.0
53,14.5
34,24.571428571428573
57,11.909090909090908
29,34.53846153846154
35,16.352941176470587
43,12.117647058823529
54,23.764705882352942
25,34.0
32,44.8
36,26.333333333333332
52,10.0
45,35.13333333333333
25,39.6875
32,20.0
42,27.0
34,20.6
38,29.833333333333332
39,29.941176470588236
36,37.5
25,35.1764705882353
27,26.0
