type_mob,count_weeks
explorer,0.2689075630252106
explorer,0.27083333333333337
returner,0.5393939393939393
explorer,0.7794117647058817
returner,0.5541125541125541
returner,0.7407407407407409
returner,0.4033264033264033
explorer,0.32830188679245276
explorer,0.3050964187327828
explorer,0.2909909909909909
returner,1.0
returner,0.4971428571428571
returner,0.5119047619047616
returner,0.6941747572815534
explorer,0.41269841269841256
returner,1.0
returner,0.4576271186440675
returner,0.5369318181818182
explorer,0.4072463768115941
returner,0.794871794871795
explorer,0.3538961038961039
returner,0.45901639344262246
returner,1.0
returner,0.7197802197802197
explorer,1.0
returner,0.4257575757575758
returner,0.839080459770115
explorer,0.28591065292096196
returner,0.46336206896551724
explorer,0.2714285714285716
returner,0.43792517006802684
returner,0.45555555555555544
returner,0.3593749999999998
returner,0.8078078078078081
returner,0.6223776223776223
returner,0.5071428571428571
explorer,0.2606060606060603
returner,0.5176470588235293
explorer,0.2428571428571428
returner,0.3228070175438597
returner,0.9791666666666666
returner,0.2857142857142858
explorer,0.29791666666666716
explorer,0.4558404558404556
returner,0.6727272727272727
returner,0.4384615384615384
explorer,0.3480392156862743
explorer,0.5961538461538461
explorer,0.3409090909090907
explorer,0.28194444444444433
explorer,0.3228021978021977
explorer,0.3373724489795918
explorer,0.28995157384987874
explorer,0.3663594470046082
returner,0.9722222222222222
explorer,0.7916666666666666
explorer,0.2507246376811592
explorer,0.4559659090909094
explorer,0.3884615384615383
returner,0.38095238095238093
returner,0.625
explorer,0.32878787878787863
explorer,0.3516666666666666
returner,0.4459706959706958
returner,0.5258799171842652
returner,0.5222222222222223
returner,0.5999999999999998
explorer,0.4358974358974356
