count,use_range
3110,547.5941357894736
3072,549.5926336842105
3106,551.5911315789473
3061,553.5896294736841
3142,555.5881273684209
3038,557.5866252631578
2993,559.5851231578947
2950,561.5836210526315
2927,563.5821189473684
3015,565.5806168421052
2907,567.579114736842
2781,569.5776126315789
2798,571.5761105263157
2855,573.5746084210525
2842,575.5731063157895
2831,577.5716042105263
2663,579.5701021052631
2616,581.5686
2699,583.5670978947368
2660,585.5655957894736
2603,587.5640936842104
2663,589.5625915789473
2641,591.5610894736841
2551,593.559587368421
2569,595.5580852631579
2566,597.5565831578947
2564,599.5550810526315
2537,601.5535789473684
2651,603.5520768421052
2552,605.550574736842
2508,607.5490726315788
2464,609.5475705263157
2355,611.5460684210526
2513,613.5445663157894
2389,615.5430642105263
2299,617.5415621052631
2458,619.5400599999999
2345,621.5385578947368
2251,623.5370557894736
2290,625.5355536842104
2320,627.5340515789472
2180,629.5325494736842
2278,631.531047368421
2218,633.5295452631578
2275,635.5280431578947
2145,637.5265410526315
2218,639.5250389473683
2312,641.5235368421052
2072,643.522034736842
2133,645.5205326315788
2101,647.5190305263158
2048,649.5175284210526
2106,651.5160263157894
2062,653.5145242105262
2074,655.5130221052631
2013,657.5115199999999
2088,659.5100178947367
2021,661.5085157894736
2020,663.5070136842104
2012,665.5055115789473
1947,667.5040094736842
2023,669.502507368421
1800,671.5010052631578
1843,673.4995031578947
1838,675.4980010526315
1871,677.4964989473683
1881,679.4949968421051
1877,681.4934947368421
1839,683.4919926315789
1787,685.4904905263157
1855,687.4889884210526
1826,689.4874863157894
1786,691.4859842105262
1791,693.484482105263
1842,695.4829799999999
1719,697.4814778947367
1775,699.4799757894737
1713,701.4784736842105
1711,703.4769715789473
1769,705.4754694736841
1735,707.473967368421
1697,709.4724652631578
1780,711.4709631578946
1679,713.4694610526315
1690,715.4679589473683
1581,717.4664568421052
1650,719.4649547368421
1629,721.4634526315789
1620,723.4619505263157
1506,725.4604484210525
1516,727.4589463157894
1575,729.4574442105262
1500,731.455942105263
1570,733.4544399999999
1546,735.4529378947368
1545,737.4514357894736
1576,739.4499336842105
1520,741.4484315789473
1449,743.4469294736841
1505,745.445427368421
1500,747.4439252631578
1486,749.4424231578946
1468,751.4409210526314
1519,753.4394189473684
1432,755.4379168421052
1461,757.436414736842
1451,759.4349126315789
1472,761.4334105263157
1472,763.4319084210525
1493,765.4304063157894
1435,767.4289042105262
1516,769.4274021052631
1407,771.4259
1530,773.4243978947368
1485,775.4228957894736
1409,777.4213936842104
1371,779.4198915789473
1379,781.4183894736841
1318,783.4168873684209
1296,785.4153852631578
1369,787.4138831578947
1335,789.4123810526315
1343,791.4108789473684
1397,793.4093768421052
1365,795.407874736842
1305,797.4063726315788
1370,799.4048705263157
1318,801.4033684210525
1320,803.4018663157893
1247,805.4003642105263
1260,807.3988621052631
1271,809.3973599999999
1257,811.3958578947368
1240,813.3943557894736
1216,815.3928536842104
1200,817.3913515789473
1162,819.3898494736841
1202,821.3883473684209
1175,823.3868452631579
1209,825.3853431578947
1142,827.3838410526315
1169,829.3823389473683
1224,831.3808368421052
1146,833.379334736842
1172,835.3778326315788
1187,837.3763305263157
1124,839.3748284210525
1105,841.3733263157894
1068,843.3718242105263
1137,845.3703221052631
1153,847.3688199999999
1078,849.3673178947367
1192,851.3658157894736
1130,853.3643136842104
1108,855.3628115789472
1087,857.3613094736841
1124,859.359807368421
1111,861.3583052631578
1023,863.3568031578947
1076,865.3553010526315
1123,867.3537989473683
1166,869.3522968421051
1103,871.350794736842
1095,873.3492926315788
1083,875.3477905263157
1056,877.3462884210526
1109,879.3447863157894
1062,881.3432842105262
1016,883.3417821052631
